Must be local?,token,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025,q026,q027,q028,q029,q030,q031,q032,q033,q034,q035,q036,q037,q038,q039,q040,q041,q042,q043,q044,q045,q046,q047,q048,q049,q050,q051,q052,q053,q054,q055,q056,q057,q058,q059,q060,q061,q062,q063,q064,q065,q066,q067,q068,q069,q070,q071,q072,q073,q074,q075,q076,q077,q078,q079,q080,q081,q082,q083,q084,q085,q086,q087,q088,q089,q090,q091,q092,q093,q094,q095,q096,q097,q098,q099,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118,q119,q120,q121,q122,q123,q124,q125,q126,q127,q128,q129,q130,q131,q132,q133,q134
1,16094_434,,Honours (Distinction),,Bachelor of Science (Pharmacy),,6/30/2016,Pharmacy,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3100,,3400,Administrative and Support Services Activities,,Appraiser/ Valuer,,,4,4,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,No,,,,One,Non Applicable based on skip pattern,7,2016,4,2016,No,No,No,No,No,Non Applicable based on skip pattern,No,Yes,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,No,,,,,,,,,,,,,,,,Q21_12 Social media networks,Getting an interview,,"Yes, intend to pursue in the near future (within the next 5 years)",Non Applicable based on skip pattern,,NATIONAL UNIVERSITY OF SINGAPORE,,,,,Neutral,Non Applicable based on skip pattern,,Not applicable. I am not aware of the career services offered,Satisfied,Dissatisfied,Neutral,Satisfied,Not applicable,Neutral,Strongly agree,Fairly well,Fairly well,Very well,Fairly well,Fairly well,Well,Fairly well,Fairly well,A little,Very well,A little,A little,Well,Fairly well,Agree,Chinese,,Singapore Citizen,,Follow up,UGRD,PHARMACY (HONS),,,NORMAL,,1520,Singapore Permanent Resident,F,N,,,,,,
1,47119_1360,,Honours (Highest Distinction),,Bachelor of Engineering (Mechanical Engineering),,6/30/2015,Dentistry,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,UOB,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,4000,,,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,,,Non Applicable based on skip pattern,3,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,No,,,2016,Three,Non Applicable based on skip pattern,4,2016,3,2016,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,Yes,No,Non Applicable based on skip pattern,No,No,Yes,No,,7,,,,,,,,,,,,3,,,Getting an interview,,"No, do not intend to pursue at all",Professional Qualification – CFA equivalent,,,,,,,Neutral,Non Applicable based on skip pattern,,Yes,Satisfied,Not applicable,Not applicable,Neutral,Not applicable,Satisfied,Neutral,A little,Fairly well,Well,Not at all,Well,Well,Well,Fairly well,Well,Well,Well,Not applicable,Very well,Not applicable,Agree,Others,,Singapore Citizen,,Full Time,UGRD,Nursing (Major),,,NORMAL,,1510,Singapore Citizen,M,N,,,,,,
1,12367_264,,Honours (Merit),,Bachelor of Applied Science,,6/30/2016,Project & Facilities Mgt,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,4500,,3400,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,,FINANCIAL PLANNING,To a great extent,4,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,No,,,2016,Two,"Yes, I attempted to look for employment",6,2016,6,2016,No,No,No,No,No,No,No,Yes,No,Non Applicable based on skip pattern,No,No,No,Non Applicable based on skip pattern,,7,,,,,,,,,,,,,,,Non Applicable based on skip pattern,,"Yes, intend to pursue in the near future (within the next 5 years)",Non Applicable based on skip pattern,,NIL,,,,RAILWAY ENGINEERING,Yes,Non Applicable based on skip pattern,,Not applicable. I am not aware of the career services offered,Neutral,Neutral,Not applicable,Satisfied,Not applicable,Not applicable,Strongly disagree,Well,Well,Well,A little,Well,Well,Well,Fairly well,Very well,Well,Fairly well,Well,Well,Well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,MECHANICAL ENGINEERING (HONS),,,NORMAL,,1220,Singapore Citizen,M,N,,,,,,
1,47257_834,,Honours (Merit),,Bachelor of Arts,,6/30/2016,Computing (Computer Science),Current course was my first choice of study,Indonesia,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,Government,,OTHER,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3000,,3300,"Arts, Entertainment and Recreation (Includes sports activities, libraries)",,Business Development Executive,,,Not at all,3,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,"Yes, mainly to obtain a job with better pay/ career prospects",,JANUARY,,One,Non Applicable based on skip pattern,10,2016,1,2016,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,No,No,Non Applicable based on skip pattern,,,,,,,,,,,,,,,,Q21_2 Centre for Future-ready Graduates Career Events,"Not satisfied with other parts of offer, other than salary",,"Yes, intend to pursue in the near future (within the next 5 years)",Master’s Degree by research,,NIL,,,,,Neutral,Non Applicable based on skip pattern,,Yes,Neutral,Very dissatisfied,Neutral,Satisfied,Not applicable,Neutral,Agree,A little,Very well,Very well,Very well,Well,Fairly well,A little,Very well,Well,Fairly well,Fairly well,Very well,Well,Well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,ACCOUNTANCY (HONS),,,NORMAL,,1520,Singapore Permanent Resident,F,N,,,,,,
1,38016_1616,,Pass,,Bachelor of Engineering (Environmental Engineering),,6/30/2016,Business Admin,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,5000,,,"Arts, Entertainment and Recreation (Includes sports activities, libraries)",,Research Officer (Non-Statistical),,,Non Applicable based on skip pattern,5,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,MARCH,,Four,Non Applicable based on skip pattern,8,2016,8,2016,Yes,No,No,No,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,Yes,Yes,Yes,Non Applicable based on skip pattern,Yes,No,No,,,,,,,,,,,,,,,,Q21_9 Other career fairs,"Finding jobs to apply to, that is related to my career interest",,"Yes, intend to pursue in the future (not within the next 5 years)",Master’s Degree by research,,,,,,CHEMISTRY,Neutral,Non Applicable based on skip pattern,,Yes,Satisfied,Satisfied,Not applicable,Not applicable,Not applicable,Neutral,Disagree,Fairly well,Well,Well,Fairly well,Fairly well,Well,Well,Well,Well,Well,Fairly well,Not applicable,Not applicable,Well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,Life Sciences (Major),,,NORMAL,Applied & Policy Econs-SPN,1510,Singapore Citizen,F,N,,,,,,
1,3352_888,,Honours (Merit),,Bachelor of Laws,,6/30/2016,Science,Currrent course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,OTHER,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3300,,,Business and Management Consultancy,,"Financial Analyst (e.g. equities analyst, credit analyst)",,,Not at all,3,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,No,,OCTOBER,,None (Bonded to Sponsoring Organisation),"Yes, I attempted to look for employment",12,2016,5,2016,No,Yes,No,Non Applicable based on skip pattern,Yes,No,No,Yes,No,Non Applicable based on skip pattern,No,No,No,No,,,5,,,,,,,,,,,1,,,"Finding jobs to apply to, that is related to my career interest",,"No, do not intend to pursue at all",MBA,,,,,,,No,Non Applicable based on skip pattern,,"Not applicable. While I am aware of the career services, I have not used the career services offered",Satisfied,Very satisfied,Neutral,Satisfied,Very satisfied,Not applicable,Strongly disagree,A little,Fairly well,Well,A little,Fairly well,Very well,Fairly well,Very well,Well,Fairly well,Well,Very well,Very well,Not applicable,Neutral,Others,,Singapore Citizen,,Full Time,,BBA (HONS),,,NORMAL,,1500,Singapore Citizen,M,N,,,,,,
1,11317_1855,,Honours (Distinction),,Bachelor of Arts,,6/30/2016,Business Admin,Current course was my first choice of study,China,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3400,,3500,Business and Management Consultancy,,"Others, please provide job title and description",,,To some extent,4,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,"Yes, mainly to utilise my skills more fully",,AUGUST,2016,Non Applicable based on skip pattern,Non Applicable based on skip pattern,9,2016,9,2016,No,Yes,Non Applicable based on skip pattern,No,No,No,No,Yes,No,No,No,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,,,,,,,,,1,,,,,,,Q21_8 Other job websites portals,Getting an interview,,"Yes, intend to pursue in the future (not within the next 5 years)",Professional Qualification – CFA equivalent,,,,,,,Yes,Non Applicable based on skip pattern,,Yes,Neutral,Neutral,Very satisfied,Satisfied,Not applicable,Not applicable,Agree,Fairly well,Well,Well,Fairly well,Fairly well,Fairly well,Well,Well,Well,Not at all,Well,Not applicable,Fairly well,Not applicable,Neutral,Chinese,,Singapore Citizen,,Full Time,UGRD,BIOMEDICAL ENGINEERING (HONS),,,NORMAL,,1520,International,F,N,,,,,,
1,4397_1421,,Honours (Distinction),,Bachelor of Science (Project and Facilities Management),,6/30/2016,Computing (Computer Science),Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,170,3000,Chemical manufacturing,,Information Technology Project Manager,,,Non Applicable based on skip pattern,5,"No, I am employed in a job not related to my course of study",Non Applicable based on skip pattern,,No,,JANUARY,2016,Two,Non Applicable based on skip pattern,11,2016,1,2016,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,No,Yes,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,No,,,,,,,,,,,,,,,,,Not satisfied with salary offer,,"No, do not intend to pursue at all",Skills-Based Modular Courses offered by Universities and Polytechnics,,,,,,RAILWAY ENGINEERING,Yes,Non Applicable based on skip pattern,,Yes,Neutral,Satisfied,Satisfied,Not applicable,Very dissatisfied,Not applicable,Neutral,Well,Well,Fairly well,A little,Very well,A little,Well,Well,Well,Well,Well,Very well,Well,Not applicable,Strongly agree,Chinese,,Singapore Citizen,,Full Time,UGRD,ACCOUNTANCY (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
1,10208_1700,,Honours (Distinction),,Bachelor of Engineering (Biomedical Engineering),,6/30/2016,Business Admin,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3600,,2400,Chemical manufacturing,,Non Applicable based on skip pattern,,,Not at all,4,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,No,,DECEMBER,,Two,"Yes, I attempted to look for employment",8,2016,8,2016,No,Yes,Non Applicable based on skip pattern,No,No,No,No,Non Applicable based on skip pattern,No,No,No,No,Non Applicable based on skip pattern,No,,,,,,,,,,,,,,,,Q21_2 Centre for Future-ready Graduates Career Events,Non Applicable based on skip pattern,,"No, do not intend to pursue at all",Non Applicable based on skip pattern,,,,,,,No,Non Applicable based on skip pattern,,"Not applicable. While I am aware of the career services, I have not used the career services offered",Very satisfied,Satisfied,Neutral,Not applicable,Satisfied,Not applicable,Neutral,Fairly well,Very well,Fairly well,Fairly well,Not at all,Fairly well,Fairly well,Well,Well,Very well,Fairly well,Very well,Not applicable,Well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,SOCIOLOGY (HONS),,,NORMAL,,1440,Singapore Citizen,M,N,,,,,,
1,32000_1,,Pass,,Bachelor of Science (Project and Facilities Management),,2/28/2016,Pharmacy,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,1000,,4000,Construction,,Technical/ Vocational/ Commercial Education Institute Teacher,,,4,3,"Yes, I am employed in a job partially related to my course of study",Non Applicable based on skip pattern,,No,,MAY,,Two,"No, I did not look for employment",4,2016,3,2016,Yes,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,No,Yes,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,,3,,,,,,,,,,,,,Q21_2 Centre for Future-ready Graduates Career Events,Getting an interview,,"Yes, intend to pursue in the future (not within the next 5 years)","Others, please specify",,,,,,BUSINESS MANAGEMENT,Neutral,Non Applicable based on skip pattern,,"Not applicable. While I am aware of the career services, I have not used the career services offered",Very satisfied,Not applicable,Satisfied,Neutral,Satisfied,Not applicable,Disagree,Well,Very well,Well,Fairly well,A little,Well,Fairly well,A little,Well,Well,Well,Well,Not applicable,Well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,ARCHITECTURE (HONS),,,NORMAL,,1520,Singapore Citizen,F,N,,,,,,
